English
Date         Expected         Predicted         Error
2015-07-01     3514               3506           8.0
2015-07-02     3503               3325           178.0
2015-07-03     3326               3495           169.0
2015-07-04     3463               3584           121.0
2015-07-05     3576               3841           265.0
2015-07-06     3850               3579           271.0
2015-07-07     3644               3428           216.0
2015-07-08     3438               3552           114.0
2015-07-09     3518               3536           18.0
2015-07-10     3498               3536           38.0
2015-07-11     3518               3869           351.0
2015-07-12     3870               3784           86.0
2015-07-13     3833               3821           12.0
2015-07-14     3855               3533           322.0
2015-07-15     3564               3655           91.0
2015-07-16     3606               3486           120.0
2015-07-17     3456               3385           71.0
2015-07-18     3336               3580           244.0
2015-07-19     3541               3726           185.0
2015-07-20     3721               3508           213.0
2015-07-21     3545               3478           67.0
2015-07-22     3489               3453           36.0
2015-07-23     3436               3377           59.0
2015-07-24     3341               3378           37.0
2015-07-25     3347               3609           262.0
2015-07-26     3586               3622           36.0
2015-07-27     3644               3556           88.0
2015-07-28     3590               4177           587.0
2015-07-29     4190               3191           999.0
2015-07-30     3284               3249           35.0
2015-07-31     3176               3254           78.0
2015-08-01     3182               3571           389.0
2015-08-02     3463               3238           225.0
2015-08-03     3268               3524           256.0
2015-08-04     3523               3490           33.0
2015-08-05     3528               3527           1.0
2015-08-06     3534               3579           45.0
2015-08-07     3600               3427           173.0
2015-08-08     3435               3603           168.0
2015-08-09     3581               3510           71.0
2015-08-10     3514               3522           8.0
2015-08-11     3509               3521           12.0
2015-08-12     3521               3483           38.0
2015-08-13     3473               3449           24.0
2015-08-14     3438               3451           13.0
2015-08-15     3437               3682           245.0
2015-08-16     3667               3689           22.0
2015-08-17     3715               3554           161.0
2015-08-18     3586               3438           148.0
2015-08-19     3443               3488           45.0
2015-08-20     3451               3416           35.0
2015-08-21     3383               3368           15.0
2015-08-22     3341               3723           382.0
2015-08-23     3701               3644           57.0
2015-08-24     3682               3461           221.0
2015-08-25     3495               3332           163.0
2015-08-26     3333               3384           51.0
2015-08-27     3331               3273           58.0
2015-08-28     3231               3357           126.0
2015-08-29     3321               3505           184.0
2015-08-30     3500               3772           272.0
2015-08-31     3794               3324           470.0
2015-09-01     3398               3422           24.0
2015-09-02     3411               3371           40.0
2015-09-03     3350               3344           6.0
2015-09-04     3294               3405           111.0
2015-09-05     3385               3580           195.0
2015-09-06     3575               3771           196.0
2015-09-07     3799               3582           217.0
2015-09-08     3644               3527           117.0
2015-09-09     3545               3468           77.0
2015-09-10     3452               3624           172.0
2015-09-11     3577               3510           67.0
2015-09-12     3504               3912           408.0
2015-09-13     3900               3659           241.0
2015-09-14     3719               3566           153.0
2015-09-15     3576               3478           98.0
2015-09-16     3469               3660           191.0
2015-09-17     3603               3439           164.0
2015-09-18     3429               3391           38.0
2015-09-19     3367               3787           420.0
2015-09-20     3762               3890           128.0
2015-09-21     3919               3595           324.0
2015-09-22     3658               3738           80.0
2015-09-23     3751               3475           276.0
2015-09-24     3470               3458           12.0
2015-09-25     3398               3402           4.0
2015-09-26     3362               3647           285.0
2015-09-27     3598               3730           132.0
2015-09-28     3748               3438           310.0
2015-09-29     3483               3617           134.0
2015-09-30     3612               3485           127.0
2015-10-01     3484               3513           29.0
2015-10-02     3478               3568           90.0
2015-10-03     3559               3931           372.0
2015-10-04     3922               3769           153.0
2015-10-05     3829               3548           281.0
2015-10-06     3583               3674           91.0
2015-10-07     3656               3696           40.0
2015-10-08     3663               3767           104.0
2015-10-09     3748               3804           56.0
2015-10-10     3819               3991           172.0
2015-10-11     4006               4059           53.0
2015-10-12     4099               4019           80.0
2015-10-13     4059               4199           140.0
2015-10-14     4217               3913           304.0
2015-10-15     3938               3451           487.0
2015-10-16     3424               3601           177.0
2015-10-17     3500               3866           366.0
2015-10-18     3781               3965           184.0
2015-10-19     3960               3919           41.0
2015-10-20     3983               3916           67.0
2015-10-21     3964               3855           109.0
2015-10-22     3869               3721           148.0
2015-10-23     3703               3661           42.0
2015-10-24     3618               4026           408.0
2015-10-25     3977               4011           34.0
2015-10-26     4034               4010           24.0
2015-10-27     4049               3910           139.0
2015-10-28     3951               3776           175.0
2015-10-29     3766               3659           107.0
2015-10-30     3617               3583           34.0
2015-10-31     3524               3738           214.0
2015-11-01     3682               4083           401.0
2015-11-02     4073               3850           223.0
2015-11-03     3916               3787           129.0
2015-11-04     3822               3904           82.0
2015-11-05     3903               3627           276.0
